Name,Last,High,Low,Chg,Chg%,Volume,Time
Coupang LLC,15.99,16.2,15.23,-0.51,-3.09%,7.48M,1:21:31
KT,12.54,12.57,12.33,0.32,2.58%,736.54K,1:22:00
LG Display,5.14,5.14,4.99,0.14,2.69%,424.15K,1:21:58
SK Telecom ADR,19.3,19.34,19.06,-0.01,-0.03%,313.25K,1:21:55
Kepco ADR,5.93,5.95,5.84,0.04,0.76%,272.49K,1:21:33
Shinhan,25.6,25.63,25.06,0.29,1.15%,156.78K,1:21:17
POSCO,44.9,44.94,43.29,0.8,1.81%,221.29K,1:21:38
KB Financial,32.66,32.71,31.92,0.28,0.85%,120.70K,1:21:59
Woori Financial,25.14,25.26,24.52,0.1,0.40%,60.79K,1:16:28
Doubledown,9.06,9.13,9.06,0.15,1.71%,399,1:16:29
Gravity Co,43.6,44.13,43.15,-0.48,-1.09%,5.68K,1:07:13
Hyundai Motor DRC,28,28,27.25,0,0.00%,3.62K,10岿 21老
Samsung Electronics Co,40.6,40.6,40.6,0,0.00%,0,09岿 28老
I-On Digital,0.07,0.07,0.07,0,0.00%,0,10岿 19老
Hyundai Motor ADR,0,0,0,0,0.00%,0,04岿 02老
Naver Corp,118,118,118,0,0.00%,0,05岿 10老
